Name,Instance Count,Size (bytes)
org.apache.tomcat.util.modeler.ManagedBean,70,3920
org.apache.tomcat.util.modeler.NotificationInfo[ ],70,1120
java.lang.invoke.DirectMethodHandle$Accessor,68,2720
java.security.CodeSource,68,2720
org.apache.tomcat.util.buf.CharChunk,68,3264
org.apache.tomcat.util.buf.MessageBytes,67,3216
com.sun.jmx.mbeanserver.PerInterface$MethodAndSig,66,1584
java.lang.invoke.LambdaForm$Kind,66,2112
java.util.HashMap$KeySet,66,1056
java.util.concurrent.locks.ReentrantLock,66,1056
org.apache.catalina.loader.ResourceEntry,64,1536
sun.net.www.MimeEntry,64,3072
java.lang.module.ModuleDescriptor,62,3968
sun.nio.fs.WindowsPath,62,2480
java.lang.module.ResolvedModule,61,1464
java.util.zip.Inflater,61,3904
java.util.zip.Inflater$InflaterZStreamRef,61,1464
jdk.internal.module.ModuleReferenceImpl,61,3416
jdk.internal.module.SystemModuleFinders$2,61,1464
jdk.internal.module.SystemModuleFinders$SystemModuleReader,61,1464
java.lang.invoke.DirectMethodHandle$Constructor,60,2400
jdk.internal.loader.BuiltinClassLoader$LoadedModule,60,1920
java.io.FileDescriptor,59,2360
java.util.ArrayDeque,59,1416
jdk.internal.module.SystemModuleFinders$3,59,944
java.lang.ThreadLocal$ThreadLocalMap$Entry,58,1856
com.jprofiler.agent.probe.structures.n[ ],57,1368
java.lang.module.ModuleDescriptor$Provides,57,1368
org.apache.catalina.Container[ ],57,1144
java.util.Collections$SetFromMap,56,1344
java.util.concurrent.CopyOnWriteArrayList$COWIterator,55,1320
org.apache.catalina.LifecycleEvent,55,1320
boolean[ ],54,6104
javax.management.MBeanNotificationInfo[ ],54,984
sun.reflect.generics.tree.ClassTypeSignature,53,848
sun.reflect.generics.tree.SimpleClassTypeSignature,53,1272
sun.reflect.generics.tree.TypeArgument[ ],53,1000
java.util.ResourceBundle$BundleReference,52,2080
java.util.ResourceBundle$CacheKey,52,3744
javax.management.MBeanConstructorInfo[ ],52,880
java.util.Arrays$ArrayList,51,1224
java.util.Collections$SingletonList,50,1200
java.util.HashMap$EntrySet,49,784
javax.management.openmbean.OpenMBeanAttributeInfoSupport,49,3136
java.util.concurrent.atomic.AtomicIntegerArray,48,768
java.util.concurrent.ConcurrentHashMap$ValuesView,47,752
java.security.Provider$UString,45,1080
java.util.WeakHashMap$KeySet,45,720
java.util.concurrent.atomic.AtomicLong,45,1080
java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject,45,1080
org.apache.coyote.ActionCode,45,1080
java.lang.invoke.LambdaFormEditor$Transform,44,2112
